Dag,Månad,NamnDag
1,1,Nyårsdagen
1,1,Internationella pizzadagen
4,1,Punktskriftens dag
5,1,Trettondagsafton
6,1,Trettondagen
7,1,Temadagens dag
13,1,Tjugondag jul
15,1,Tulpanens dag
18,1,Internationella Nalle Puh-dagen
19,1,Internationella popcorndagen
20,1,Lösenordsbytardagen
21,1,Kramens dag
22,1,Vinets dag
23,1,Elens dag
27,1,Förintelsens minnesdag
28,1,European Privacy & Data Protection Day
29,1,Veganpizza-dagen
1,2,Vegetariska dagen
2,2,Internationella våtmarksdagen
3,2,Morotskakans dag
4,2,Världscancerdagen
5,2,Nutelladagen
6,2,Samernas nationaldag
6,2,Semicolonets dag
8,2,Ägghalvans dag
11,2,Internationella 112 dagen
13,2,Världsradiodagen
13,2,Tandborstbytardagen
14,2,Alla hjärtans dag
15,2,Internationella barncancerdagen
15,2,Geléhallonens dag
18,2,Fotens dag
20,2,Slarvighetens dag
21,2,Internationella dagen för modersmål
22,2,Internationella brottsofferdagen
24,2,Sverigefinnarnas dag
25,2,Grapefruktens dag
27,2,Internationella isbjörnsdagen
28,2,Internationella musarmsdagen
1,3,Krama en bibliotekarie dagen
3,3,Music Freedom Day
5,3,Cheese Doodle day
7,3,Punschrullens dag
8,3,Internationella kvinnodagen
9,3,Tomatsåsens dag
10,3,V8-motorns dag
12,3,Republiken Jämtlands nationaldag
12,3, Alla korvars dag
13,3,Mazarindagen
14,3,Pi-dagen
17,3,Kollektivavtalets dag
17,3,Saint-patricks day
18,3,Bussförarens dag
19,3,Supportens dag
20,3,Internationella glädjedagen
21,3,Internationella dockteaterdagen
22,3,Internationella vattendagen
23,3,Matlådans dag
24,3,Europeiska dagen för hantverksmässigt tillverkad glass
25,3,Våffeldagen
1,4,Skojardagen
2,4,Studenternas dag
3,4,Kärlekens dag
4,4,Morotens dag
7,4,Världshälsodagen
8,4,Romernas internationella dag 
10,4,Internationella syskondagen
12,4,Lakritsdagen
12,4,Linssoppans dag
15,4,Internationella biomedicinska analytikerdagen
16,4,Världsröstdagen
18,4,Amatörradions dag
20,4,Polkagrisens dag
21,4,Terrakottakrukans dag
23,4,Världsbokdagen
26,4,Promenadens dag
28,4,Världsdagen för säkerhet och hälsa på arbetsplatsen
29,4,Internationella dansdagen
30,4,Valborgsmässoafton
1,5,Arbetarrörlsens dag
2,5,Harry Potter dagen
3,5,Internationella dagen för pressfrihet
3,5,Asociala dagen
4,5,Star wars dagen May the fourth be with you
5,5,Internationella barnmorskedagen
6,5,Hembakatdagen
9,5,Nedkopplingens dag
11,5,Chockladbollens dag
12,5,Massagens dag
13,5,Barnens dag
13,5,Tunnbrödets dag
14,5,Teckenspråkets dag
15,5,Kardemummabullens dag
17,5,Internationella dagen mot homo- och transfobi
18,5,Fascinerade växters dag
19,5,Nationella mag-tarm dagen
21,5,Världsdagen för kulturell mångfald för dialog och utveckling
22,5,Picknickens dag
23,5,Internationella sköldpaddsdagen
25,5,Handduksdagen
27,5,Muffinsdagen
27,5,Ostens dag
28,5,Internationella burgardagen
29,5,Internationella dagen för FNs fredsbevarande personal
